"","state","population","violent_crime","murder_and_manslaughter","rape_legacy","rape_revised","robbery","aggravated_assault","property_crime","burglary","larceny_theft","mvt","violent_crime_rate","murder_manslaughter_rate","rape_legacy_rate","rape_revised_rate","robbery_rate","aggravated_assault_rate","property_crime_rate","burglary_rate","larceny_theft_rate","mvt_rate","X","year"
"1","Alabama",4219000,28844,501,1487,NA,7223,19633,178015,44064,119951,14000,683.7,11.9,35.2,NA,171.2,465.3,4219.4,1044.4,2843.1,331.8,NA,1994
"2","Alaska",606000,4644,38,418,NA,886,3302,29947,4848,21824,3275,766.3,6.3,69,NA,146.2,544.9,4941.7,800,3601.3,540.4,NA,1994
"3","Arizona",4075000,28653,426,1465,NA,6601,20161,294273,60157,190649,43467,703.1,10.5,36,NA,162,494.7,7221.4,1476.2,4678.5,1066.7,NA,1994
"4","Arkansas",2453000,14598,294,1028,NA,3158,10118,103115,26911,68478,7726,595.1,12,41.9,NA,128.7,412.5,4203.6,1097.1,2791.6,315,NA,1994
"5","California",31431000,318395,3703,10984,NA,112160,191548,1622102,384257,929640,308205,1013,11.8,34.9,NA,356.8,609.4,5160.8,1222.5,2957.7,980.6,NA,1994
"6","Colorado",3656000,18632,199,1579,NA,3910,12944,175808,33843,127600,14365,509.6,5.4,43.2,NA,106.9,354,4808.8,925.7,3490.2,392.9,NA,1994
"7","Connecticut",3275000,14916,215,806,NA,6150,7745,134030,29142,84721,20167,455.5,6.6,24.6,NA,187.8,236.5,4092.5,889.8,2586.9,615.8,NA,1994
"8","Delaware",706000,4549,33,546,NA,1141,2829,29971,6198,20828,2945,644.3,4.7,77.3,NA,161.6,400.7,4245.2,877.9,2950.1,417.1,NA,1994
"9","District of Columbia",570000,15177,399,249,NA,6311,8218,48009,10037,29711,8261,2662.6,70,43.7,NA,1107.2,1441.8,8422.6,1760.9,5212.5,1449.3,NA,1994
"10","Florida",13953000,160016,1165,7301,NA,45871,105679,991105,237341,626578,127186,1146.8,8.3,52.3,NA,328.8,757.4,7103.2,1701,4490.6,911.5,NA,1994
"11","Georgia",7055000,47103,703,2448,NA,15703,28249,376926,81406,256208,39312,667.7,10,34.7,NA,222.6,400.4,5342.7,1153.9,3631.6,557.2,NA,1994
"12","Hawaii",1179000,3091,50,359,NA,1221,1461,75672,14029,55260,6383,262.2,4.2,30.4,NA,103.6,123.9,6418.3,1189.9,4687,541.4,NA,1994
"13","Idaho",1133000,3238,40,316,NA,209,2673,42954,8147,32597,2210,285.8,3.5,27.9,NA,18.4,235.9,3791.2,719.1,2877.1,195.1,NA,1994
"14","Illinois",11752000,112928,1378,3913,NA,43788,63849,548222,118116,363888,66218,960.9,11.7,33.3,NA,372.6,543.3,4664.9,1005.1,3096.4,563.5,NA,1994
"15","Indiana",5752000,30205,453,2046,NA,7490,20216,233975,48921,160043,25011,525.1,7.9,35.6,NA,130.2,351.5,4067.7,850.5,2782.4,434.8,NA,1994
"16","Iowa",2829000,8914,47,666,NA,1327,6874,94475,18872,70507,5096,315.1,1.7,23.5,NA,46.9,243,3339.5,667.1,2492.3,180.1,NA,1994
"17","Kansas",2554000,11314,170,1055,NA,2940,7149,112477,28635,75459,8383,443,6.7,41.3,NA,115.1,279.9,4404,1121.2,2954.5,328.2,NA,1994
"18","Kentucky",3827000,16991,244,1350,NA,3595,11802,110725,28718,73449,8558,444,6.4,35.3,NA,93.9,308.4,2893.3,750.4,1919.2,223.6,NA,1994
"19","Louisiana",4315000,42369,856,1923,NA,11530,28060,245488,55188,164081,26219,981.9,19.8,44.6,NA,267.2,650.3,5689.2,1279,3802.6,607.6,NA,1994
"20","Maine",1240000,1611,28,318,NA,278,987,38971,8938,28257,1776,129.9,2.3,25.6,NA,22.4,79.6,3142.8,720.8,2278.8,143.2,NA,1994
"21","Maryland",5006000,47457,579,2035,NA,20147,24696,259039,52234,168608,38197,948,11.6,40.7,NA,402.5,493.3,5174.6,1043.4,3368.1,763,NA,1994
"22","Massachusetts",6041000,42749,214,1825,NA,10160,30550,225532,53222,129962,42348,707.6,3.5,30.2,NA,168.2,505.7,3733.4,881,2151.3,701,NA,1994
"23","Michigan",9496000,72751,927,6720,NA,21733,43371,444325,91849,290172,62304,766.1,9.8,70.8,NA,228.9,456.7,4679.1,967.2,3055.7,656.1,NA,1994
"24","Minnesota",4567000,16397,147,2725,NA,5370,8155,181856,36157,131344,14355,359,3.2,59.7,NA,117.6,178.6,3982,791.7,2875.9,314.3,NA,1994
"25","Mississippi",2669000,13177,409,1212,NA,4336,7220,115924,34493,70621,10810,493.7,15.3,45.4,NA,162.5,270.5,4343.3,1292.4,2646,405,NA,1994
"26","Missouri",5278000,39240,554,1955,NA,12178,24553,240898,55577,158283,27038,743.5,10.5,37,NA,230.7,465.2,4564.2,1053,2998.9,512.3,NA,1994
"27","Montana",856000,1516,28,233,NA,280,975,41445,6178,32817,2450,177.1,3.3,27.2,NA,32.7,113.9,4841.7,721.7,3833.8,286.2,NA,1994
"28","Nebraska",1623000,6322,51,500,NA,1223,4548,65746,10963,48547,6236,389.5,3.1,30.8,NA,75.4,280.2,4050.9,675.5,2991.2,384.2,NA,1994
"29","Nevada",1457000,14597,170,1001,NA,5134,8292,82693,19735,51893,11065,1001.9,11.7,68.7,NA,352.4,569.1,5675.6,1354.5,3561.6,759.4,NA,1994
"30","New Hampshire",1137000,1328,16,407,NA,308,597,29837,5275,22260,2302,116.8,1.4,35.8,NA,27.1,52.5,2624.2,463.9,1957.8,202.5,NA,1994
"31","New Jersey",7904000,48544,396,1972,NA,22762,23414,319856,72074,195618,52164,614.2,5,24.9,NA,288,296.2,4046.8,911.9,2474.9,660,NA,1994
"32","New Mexico",1654000,14708,177,866,NA,2329,11336,87638,21945,57343,8350,889.2,10.7,52.4,NA,140.8,685.4,5298.5,1326.8,3466.9,504.8,NA,1994
